City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Butembo,CD,2020-05-25 20:03:38,0.15,29.28,59.52,86,14,3.2
153,Nalut,LY,2020-05-25 20:03:38,30.33,10.85,83.95,21,64,13.27
154,Hasaki,JP,2020-05-25 20:03:38,35.73,140.83,63.0,100,75,2.24
155,Saskylakh,RU,2020-05-25 20:03:38,71.92,114.08,40.28,91,100,14.97
156,Puerto Ayora,EC,2020-05-25 20:03:39,-0.74,-90.35,84.2,58,20,20.8
157,Manta,EC,2020-05-25 20:02:17,-0.95,-80.73,82.4,74,20,16.11
158,Torbay,CA,2020-05-25 20:03:39,47.67,-52.73,63.0,18,75,17.22
159,Polunochnoye,RU,2020-05-25 20:03:40,60.87,60.42,48.43,96,100,7.54
160,Hithadhoo,MV,2020-05-25 20:03:40,-0.6,73.08,83.39,75,80,7.27
161,Fenoarivo Atsinanana,MG,2020-05-25 20:03:40,-17.37,49.42,70.27,81,79,4.54
162,Port Keats,AU,2020-05-25 20:03:41,-14.25,129.55,64.9,50,97,6.8
163,Amalapuram,IN,2020-05-25 20:03:41,16.58,82.02,83.14,81,42,5.64
164,Moose Factory,CA,2020-05-25 20:03:41,51.26,-80.61,57.2,93,90,6.93
165,Namibe,AO,2020-05-25 20:03:41,-15.2,12.15,71.51,69,0,7.61
166,Moroni,KM,2020-05-25 20:03:42,-11.7,43.26,77.41,68,0,4.81
167,Matagami,CA,2020-05-25 20:03:42,49.75,-77.63,82.4,42,75,11.41
168,Geraldton,AU,2020-05-25 20:03:42,-28.77,114.6,60.8,72,75,11.41
169,Valdivia,CL,2020-05-25 20:03:42,-39.81,-73.25,55.4,93,75,3.36
170,Korla,CN,2020-05-25 20:03:42,41.76,86.15,68.04,35,50,11.72
171,Pau Dos Ferros,BR,2020-05-25 20:03:43,-6.11,-38.21,80.4,81,24,2.8
172,Coquimbo,CL,2020-05-25 20:03:43,-29.95,-71.34,60.8,77,20,11.41
173,Boa Vista,BR,2020-05-25 20:03:43,2.82,-60.67,87.8,58,75,9.17
174,Sao Filipe,CV,2020-05-25 20:03:43,14.9,-24.5,74.35,74,88,3.04
175,Aubagne,FR,2020-05-25 20:03:43,43.29,5.57,75.99,60,33,1.01
176,Yen Bai,VN,2020-05-25 20:03:43,21.7,104.87,78.33,84,100,1.97
177,Prado,BR,2020-05-25 20:03:43,-17.34,-39.22,77.63,84,100,9.37
178,Popondetta,PG,2020-05-25 20:03:44,-8.75,148.25,72.99,94,29,2.68
179,South Venice,US,2020-05-25 20:03:44,27.05,-82.42,78.8,94,90,3.36
180,Weligama,LK,2020-05-25 20:03:44,5.97,80.42,80.31,88,100,7.47
181,Kindu,CD,2020-05-25 20:03:44,-2.95,25.95,74.17,72,4,0.6
182,Badvel,IN,2020-05-25 20:03:44,14.75,79.05,84.0,71,8,4.45
183,Guerrero Negro,MX,2020-05-25 20:03:44,27.98,-114.06,71.71,58,23,13.49
184,Kahului,US,2020-05-25 20:02:40,20.89,-156.47,82.4,51,20,4.7
185,Bolpur,IN,2020-05-25 20:03:45,23.67,87.72,85.23,70,93,16.53
186,Nuuk,GL,2020-05-25 20:02:05,64.18,-51.72,35.6,64,75,5.82
187,Teahupoo,PF,2020-05-25 20:03:45,-17.83,-149.27,86.0,66,75,8.05
188,Poum,NC,2020-05-25 20:03:46,-20.23,164.02,75.07,58,87,7.94
189,Butaritari,KI,2020-05-25 20:03:46,3.07,172.79,82.27,78,55,13.78
